コード,名 称,特 色,総資産
6635,(株)大日光・エンジニアリング,配線基板実装、一眼レフ用レンズ組み立てが柱、国内カメラ最大手向け中心。ＮＣネットと提携,2537000000.0
6637,寺崎電気産業(株),船舶、産業用の配電制御システムメーカー。国内シェア首位。海外でも積極展開。医療装置も,13602000000.0
6638,(株)ミマキエンジニアリング,広告・看板向け産業用ＩＪプリンタ大手。工業製品・小物類、布地・衣料品向け育成。ＦＡ参入,17018000000.0
6640,Ｉ−ＰＥＸ(株),コネクター大手。スマホ、ＰＣ向けから車載関連に軸足移す。匂いセンサー等新開発分野に活路,26080000000.0
6641,日新電機(株),住友電工傘下の電力機器メーカー。重電専業から出発、ディスプレーや半導体製造関連装置拡充,158496000000.0
6643,(株)戸上電機製作所,高圧負荷開閉器主力の配電制御システム機器メーカー。電力向け約４割、中国にも生産現法,8300000000.000001
6644,大崎電気工業(株),スマートメーターで国内首位、売上の過半が電力会社向け。傘下のＥＤＭＩ主導で海外展開加速,24181000000.0
6645,オムロン(株),感知・制御技術が基盤。稼ぎ頭は制御機器。リレー等電子部品や鉄道システム、ヘルスケアも展開,1458000000000.0
6647,森尾電機(株),電装品メーカーのパイオニア。主力の鉄道車両向け電気機器が約７割。納入先はＪＲが多い,2251000000.0
6648,(株)かわでん,再上場前は川崎電気。カスタム型配電制御設備の専業最大手。一貫生産体制で、中大型に強み,6932000000.0
6651,日東工業(株),電設資材のキャビネットでトップ。配電盤でも大手。製販一貫体制。情報通信関連分野に注力,91000000000.0
6652,ＩＤＥＣ(株),制御機器専業メーカー。操作スイッチ、表示ランプに強み。太陽光発電、自動認識機器など育成,80683000000.0
6653,(株)正興電機製作所,電力向け受変電設備・開閉装置が中心。九電、日立と密接。制御・情報システム技術で広く展開,13344000000.0
6654,不二電機工業(株),制御用開閉器で高シェア。電子応用機器に展開。電力向け多い。一部直販制。海外市場も狙う,6545000000.0
6655,東洋電機(株),電子制御装置、配電機器メーカー。エレベーター用センサーでは首位級。耐雷変圧器にも強み,0.0
6656,インスペック(株),半導体用精密基板の最終外観検査装置（ＡＶＩ）・パターン検査装置（ＡＯＩ）を製造。台湾に販社,5515000000.0
6658,シライ電子工業(株),プリント配線板専業の中堅メーカー。リジッド配線板の両面、低多層プリント配線板が主体,4961000000.0
6659,(株)メディアリンクス,放送や通信系機器の開発、販売。ファブレスメーカー。開発部員が従業員の半数近く占める,959062000.0
6662,(株)ユビテック,カーシェア用車載機器とＡＴＭ紙幣鑑別センサーが柱。ＩｏＴに注力。オリックス軸に再建中,3506000000.0
6663,太洋工業(株),フレキシブルプリント基板（ＦＰＣ）の試作品メーカー。一貫生産に強み。基板検査装置も製造,2292000000.0
6664,(株)オプトエレクトロニクス,バーコードリーダー、ハンディスキャナー大手。レーザー方式トップ。開発型企業、海外比率高い,2428000000.0
6666,リバーエレテック(株),水晶振動子等の電子部品の製造・販売を手がける。電子ビーム封止工法など独自技術に定評,7664000000.0
6668,(株)アドテック　プラズマ　テクノロジー,半導体・液晶製造関連のプラズマ用高周波電源装置大手。栃木子会社は研究機関・大学関連が主,17940000000.0
6670,(株)ＭＣＪ,パソコン製造・販売が起点。「マウス」ブランドが主力。周辺機器、通信、メディアにも展開,78978000000.0
6674,(株)ジーエス・ユアサ　コーポレーション,車載用鉛電池、産業用電池電源が主力。鉛蓄電池で世界２位。リチウムイオン電池の育成注力,169810000000.0
6675,サクサホールディングス(株),情報通信やセキュリティ機器、画像領域を融合させたシステムなどを企業や学校などで展開,8790000000.0
6676,(株)メルコホールディングス,傘下にＰＣ周辺機器のバッファロー。無線ＬＡＮ首位。製麺のシマダヤも。総還元性向８割メド,53125000000.0
6677,(株)エスケーエレクトロニクス,フォトマスク専業。大型液晶パネル用世界首位。ヘルスケア分野など新規事業開発に挑戦中,10080000000.0
6678,(株)テクノメディカ,採血管準備装置を開発し市場を創造。同装置・消耗品が柱。ファブレスが基本。海外にも展開,12977000000.0
6694,(株)ズーム,音楽用電子機器の開発、販売。ハンディレコーダーやマルチエフェクター展開。ファブレス経営,4186000000.0
6696,(株)トラース・オン・プロダクト,ＩｏＴ機器主柱で設計からの一貫体制に強み、月額課金型モデルへの転換はいったん凍結,1070000000.0000001
6697,テックポイント,---,17460000000.0
6698,ヴィスコ・テクノロジーズ(株),生産ライン向け外観検査装置の研究開発型企業、画像処理技術に強み。国内３位、専業では首位,4741000000.0
6699,ダイヤモンドエレクトリックホールディングス(株),自動車用点火コイルの草分け。１８年１０月に単独株式移転で持株会社化。旧田淵電機を傘下に,7434000000.0
6701,ＮＥＣ,官公庁・企業向けＩＴサービス大手。通信インフラ国内首位。生体認証技術に強み。５Ｇに注力,1403000000000.0
6702,富士通(株),ＩＴサービス国内首位。官公庁・金融・流通向け多い。コンサル機能を強化し、ＤＸ関連に注力,3854000000000.0
6703,ＯＫＩ,祖業の情報通信システムのほかプリンタ、ＡＴＭ、ＥＭＳの４本柱。社会インフラシステム育成,66482000000.0
6704,岩崎通信機(株),情報通信機器の中堅メーカー。中小企業向けビジネスホンが主力、計測機器や製版事業も注力,8425000000.000001
6706,電気興業(株),大型通信アンテナの製造、工事。防災関連の通信インフラ整備も。高周波焼き入れ技術にも特色,29994000000.0
6707,サンケン電気(株),独立系パワー半導体大手。自動車と白物家電向けアジア市場強化。米国子会社ナスダック上場,131755000000.0
6715,(株)ナカヨ,電話機、交換機の中堅メーカー。日立、ＮＴＴ東西向け取引多い。非電話、非ＩＣＴ機器開発も,4891000000.0
6718,アイホン(株),インターホン業界トップ。住宅向け中心にナースコールも。欧米展開を加速。配当性向３５％方針,27879000000.0
6721,ウインテスト(株),半導体（イメージセンサー）、液晶向け検査装置が主力。中国企業が増資引き受け、その傘下に,4890000000.0
6723,ルネサスエレクトロニクス(株),日立、三菱電、ＮＥＣの半導体が統合。車載マイコン世界首位級。米英３社を計１・７兆円で買収,2853000000000.0
6724,セイコーエプソン(株),インクジェットプリンタ（ＩＪＰ）国内首位級。大容量モデルに注力中。ビジネス用途にも進出,734513000000.0
6727,(株)ワコム,描画用のペン入力タブレットで首位。サムスンのスマホなど他社向け電子ペンシステムを開発,170330000000.0
6728,(株)アルバック,真空技術を中核に半導体や有機ＥＬ含むＦＰＤの製造装置を展開。スパッタリング装置で有力,262005000000.0
6730,(株)アクセル,描画表示、音源用ＬＳＩのファブレスメーカー。パチンコ機向け大半。組み込み機器向けも注力,9122000000.0
6731,(株)ピクセラ,ＰＣ向けチューナーや回線事業者向けチューナーが柱。ＶＯＤ端末などの新分野育成を急ぐ,2402000000.0
6734,(株)ニューテック,サーバー等に接続するストレージ製造・販売。大容量高速サーバーＣｌｏｕｄｙシリーズが柱,2181000000.0
6736,サン電子(株),遊技機関連から情報・通信分野に軸足移す。柱のモバイル関連事業は犯罪捜査機関向けに特化,38017000000.0
6737,ＥＩＺＯ(株),ヘルスケアや航空管制など特定産業用からアミューズメント用まで。映像技術の総合企業標榜,73235000000.0
6740,(株)ジャパンディスプレイ,中小型液晶パネル大手。日立、東芝、ソニーの事業統合で誕生。用途拡大や顧客分散で経営再建中,53308000000.0
6741,日本信号(株),鉄道、道路信号に強い３大信号会社のトップ。ホームドアや駐車場機器も展開。業績下期偏重,55137000000.0
6742,(株)京三製作所,信号大手の一角、民鉄に強い。鉄道信号、道路信号、産業機器用電源装置が３本柱。下期偏重,27658000000.0
6743,大同信号(株),３大信号会社の一角でＪＲが主顧客。列車制御装置や設備監視向けなどシステム製品に強み,9394000000.0
6744,能美防災(株),火災報知設備、消火設備などの防災機器メーカー最大手。メンテ事業拡大に注力中。セコム系列,101302000000.0
6745,ホーチキ(株),日本初の火災報知器メーカー。防災関連２位。放送受送信機も。ＡＬＳＯＫ、独ボッシュと提携,31327000000.0
6748,星和電機(株),プラント向け防爆照明首位。道路表示装置で官公需強い。ノイズ対策品育成。利益１〜３月偏重,6140000000.0
6750,エレコム(株),ＰＣ周辺機器のファブレスメーカー。マウス、キーボード、スマホ関連で首位。法人向け強化中,142597000000.0
6752,パナソニック　ホールディングス(株),総合家電大手。ＡＶ機器、白物家電が主力。電池などのデバイス事業、照明、住宅設備も展開,2665000000000.0
6753,シャープ(株),電機大手。テレビ、液晶パネル、白物家電など展開。１６年８月、台湾・鴻海精密工業の子会社に,655632000000.0
6754,アンリツ(株),通信系計測器の有力企業。携帯電話や基地局に強い。海外でも高シェア。食品向け産業機械も,197033000000.0
6755,(株)富士通ゼネラル,富士通系。エアコン主力。欧州、豪州、中東に強み。生産拠点は中国とタイ、海外は代理店販売,246919000000.0
6757,(株)ＯＳＧコーポレーション,浄水器、電解水素水および衛生管理機器の製販、メンテの一貫体制。高級食パン専門店を展開,4961000000.0
6758,ソニーグループ(株),ＡＶ機器大手。海外でブランド力絶大。イメージセンサー、ゲーム、音楽・映画分野に重点,14288000000000.0
6762,ＴＤＫ(株),電子部品大手。ＨＤＤ用磁気ヘッド、コンデンサーなど受動部品、２次電池展開。センサー注力,1656000000000.0
6763,帝国通信工業(株),可変抵抗器の老舗。主力の前面操作ブロックは家電向けから車載へ展開。ブランドは「ノーブル」,13454000000.0
6768,(株)タムラ製作所,トランス、リアクター大手。はんだ材料、絶縁膜、子会社でＬＥＤも展開。海外生産が７割強,45251000000.0
6769,ザインエレクトロニクス(株),自社ブランド品を独自開発するファブレス半導体メーカー先駆。信号伝送用等の技術力に強み,8302000000.0
6770,アルプスアルパイン(株),電子部品のアルプス電気と車載情報機器のアルパインが再統合。売上高の６割が自動車関連,289975000000.0
6771,池上通信機(株),放送機器・システムの中堅で業務用カメラ強い。監視カメラや医療用カメラも。アジア圏を強化,3826000000.0
6772,東京コスモス電機(株),産業機器用可変抵抗器の有力メーカー。自動車用電装センサー、抵抗体応用の面状発熱体も展開,2227000000.0
6775,(株)ＴＢグループ,屋外電子看板、ＬＥＤ照明、電子レジが３本柱。カプセル型宿泊施設も展開。会社再建中,1644000000.0
6777,ｓａｎｔｅｃ(株),光通信用部品と光測定器が２本柱。光部品で波長モニターなど独自製品多い。ＯＣＴ拡大狙う,17735000000.0
6778,(株)アルチザネットワークス,通信計測器の開発業者で携帯電話の基地局や交換機向けが主。次世代携帯電話計測器でリード,11348000000.0
6779,日本電波工業(株),電波の送受信に欠かせない水晶デバイスで世界２位級。車載用が主体、日中マレーシアで生産,23608000000.0
6785,(株)鈴木,スマホや自動車電装部品向けコネクターが主力。医療器具組立事業も展開。中国などで生産,10985000000.0
6787,(株)メイコー,プリント配線板製造で国内上位。車載用とスマホ用が２本柱。中国とベトナムに量産工場持つ,107304000000.0
6788,(株)日本トリム,電解水素水整水器首位、職域販売が柱。血液透析にも展開、医療関連は子会社で臍帯血バンクも,18330000000.0
6789,ローランド　ディー．ジー．(株),広告・看板用インクジェットプリンタで世界首位級。デンタル加工機、３Ｄプリンタ育成中,39017000000.0
6794,フォスター電機(株),音響・車載用スピーカー部品・製品の専業メーカー。米アップル向けに同梱イヤホンを供給,16040000000.0
6797,名古屋電機工業(株),道路電光情報板など各種情報表示システムの草分け。第２柱のＸ線基板検査装置安定化が課題,0.0
6798,ＳＭＫ(株),コネクター中心にリモコン、タッチパネルなども手がける電子部品メーカー。車載向けに注力,13424000000.0
6800,(株)ヨコオ,自動車用アンテナ国内大手。半導体・スマホ用の回路検査機器が収益源。医療用カテーテル育成,55248000000.0
6803,ティアック(株),音楽制作機器が主力。オーディオは高級路線にシフト。医用機器、センサー計測機器にも注力,3313000000.0
6804,ホシデン(株),コネクター、スイッチ、マイク部品等情報通信部品大手。ゲーム機関連は任天堂向けの比率高い,64790000000.00001
6806,ヒロセ電機(株),コネクター大手。スマホ、車載、産機用に多分野展開。国内自社工場は開発特化、協力会社で量産,617566000000.0
6807,日本航空電子工業(株),コネクター大手。小型、薄型、高速伝送に強み。システム機器、航空用電子機器も。ＮＥＣ子会社,178003000000.0
6809,ＴＯＡ(株),構内放送設備、セキュリティシステムの２本柱。海外は商品企画から販売まで行う地域体制強化,26763000000.0
6810,マクセル(株),電池や産業用部材など展開。自動車関連を強化。日立製作所から独立。２１年１０月に持株会社解消,60340000000.0
6814,古野電気(株),魚群探知機、電子海図など船舶用電子機器の世界大手。無線技術核にＧＰＳや医療機器事業強化,31114000000.0
6815,ユニデンホールディングス(株),スキャナーはじめ無線機器が主力。米国、豪州など海外事業比率高い。ベトナム工場で集中生産,15693000000.0
6817,スミダコーポレーション(株),コイル専業。車載、通信用が主。ドル建て調達多く円安は減益要因。生産は海外各地。四半期配当,22750000000.0
6820,アイコム(株),無線機専業。アマチュア用無線、陸上業務用、海上用の３分野が柱。北米、欧州が売上の約４割,34949000000.0
6822,大井電気(株),無線通信機器や情報通信機器が柱。電力・通信関連システム工事の展開にも注力。三菱電機系,3187000000.0
6823,リオン(株),補聴器は国内シェア首位。系列販売店に強み。医用検査機器や騒音・微粒子計測器等にも展開,30570000000.0
6824,新コスモス電機(株),家庭用ガス警報器でトップ。工業・業務用も展開。独自のガスセンサー技術軸に開発。海外強化,21777000000.0
6826,本多通信工業(株),コネクター中心。通信向けから現在は車載向けが柱に。パナソニックと提携、生産の半分は中国,11317000000.0
6832,アオイ電子(株),独立系の電子部品製造。半導体集積回路組み立て・検査受託が柱。印刷ヘッドや抵抗器の製造も,22978000000.0
6834,(株)精工技研,光通信部品、光ディスク用金型が主柱。携帯電話用のレンズ、子会社で自動車用センサーも,15436000000.0
6835,アライドテレシスホールディングス(株),ネットワーク機器を国際展開。日、米、欧で開発。製造業や医療機関、文教、自治体向けが柱,11858000000.0
6836,ぷらっとホーム(株),Ｌｉｎｕｘ等の無償ＯＳ利用したサーバーやシステム構築に強み。法人向けに資源集中進める,848406000.0
6837,(株)京写,プリント配線板メーカー。片面プリント配線板で世界首位。中国、インドネシアが生産拠点に,4414000000.0
6838,(株)多摩川ホールディングス,携帯電話など無線機器や計測器製造・販売の多摩川電子が主力。風力発電など再生エネ事業展開,4475000000.0
6840,(株)ＡＫＩＢＡホールディングス,増設メモリー、用途別メモリーとフラッシュモジュール販売が主力。通信コンサルや無線工事も,3052000000.0
6841,横河電機(株),各種プラント生産設備向け制御システムなどが主力。計測機器や航空計器も。海外比率高い,588053000000.0
6844,新電元工業(株),車載・産業用パワー半導体やホンダ向け等２輪用電装品を展開。飯能から朝霞へ本部機能を移転,33340000000.000004
6845,アズビル(株),制御・自動化機器大手。エネルギー管理サービス（ＢＥＭＳ）武器に補修需要狙う。海外急展開,493514000000.0
6846,(株)中央製作所,自動車向け電源機器、表面処理装置、溶接機が主。ＪＲの速度計、モーターの鉄道試験装置扱う,0.0
6848,東亜ディーケーケー(株),環境計測器・工業用計測器メーカー。水から大気へ展開。米ダナハー・グループのハックと提携,18781000000.0
6849,日本光電,医用電子機器専門。病院向け生体情報モニターが主力。国内首位の脳波計やＡＥＤにも強み,266791000000.0
6850,(株)チノー,温度制御主体の計測器専業メーカー。ユーザー密着のエンジニアリング活動に強み。海外強化,13696000000.0
6853,(株)共和電業,ひずみゲージとその応用計測機器でシェア４割。衝突試験用など自動車向け強化。米国、中国も,9226000000.0
6855,日本電子材料(株),半導体検査用プローブカード大手。ブラウン管カソードなどから出発。海外生産比率向上に注力,21527000000.0
6856,(株)堀場製作所,独立系の分析機器大手。エンジン計測器で世界シェア８割。Ｍ＆Ａなどにより海外事業を強化中,274704000000.0
6857,(株)アドバンテスト,半導体検査装置で世界大手。非メモリー用中心。ＤＲＡＭ用では首位。システムレベルテストも,1684000000000.0
6858,(株)小野測器,デジタル計測機器大手。回転計、音響・振動計で首位。自動車業界向けが中心。アジアへ進出,4658000000.0
6859,エスペック(株),気温・湿度等の環境変化の影響を分析する環境試験器のトップ。電池、半導体の試験器も展開,40364000000.0
6861,(株)キーエンス,ＦＡセンサーなど検出・計測制御機器大手。生産は国内工場軸に外注。持分にジャストシステム,11898000000000.0
6862,ミナトホールディングス(株),産業用メモリー、デバイスプログラマー、ＡＴＭ用タッチパネルが柱。Ｍ＆Ａで事業規模拡大,3194000000.0
6863,(株)ニレコ,プロセス制御・計測機器メーカー。シートやフィルム制御装置、画像処理技術活用した検査機も,6312000000.0
6864,(株)エヌエフホールディングス,ＮＦ制御技術やアナログ技術に強み。独自開発の電子計測器、応用機器で高シェア。中国展開も,8451000000.000001
6866,ＨＩＯＫＩ(株),各種テスターなど電気測定器の中堅メーカー。電子測定器、現場測定器に注力。アジア展開強化,101334000000.0
6867,リーダー電子(株),電気計測器の中堅メーカー。放送、ＡＶ関連に強み。製造部門を廃止し、完全ファブレス化,2245000000.0
6869,シスメックス(株),検体検査機器・試薬で高シェア。米国など世界的に展開。ライフサイエンス分野の研究開発強化,1665000000000.0
6870,日本フェンオール(株),ガス消火装置等特殊防災が主力。熱制御で半導体製造装置に強み。買収で消防関連事業に参入,7804000000.0
6871,(株)日本マイクロニクス,半導体検査用器具プローブカード主力で世界３位、メモリー向け同１位、ロジック向け拡大中,55710000000.0
6874,協立電機(株),ＦＡシステム（最適生産システム）や計測制御機器の設計、開発が主事業。省エネシステムも,7469000000.0
6875,(株)メガチップス,特定用途向け半導体ファブレスメーカー。任天堂向け主体。持分に米ＭＥＭＳ発振器会社,72726000000.0
6877,ＯＢＡＲＡ　ＧＲＯＵＰ(株),自動車向け溶接機器の大手。消耗品販売兼営で強み発揮。各種半導体向け等平面研磨装置も展開,45216000000.0
6881,(株)キョウデン,プリント配線板大手。産業機器軸に設計開発から実装・組み立てまで一貫体制。工業材料事業も,28620000000.0
6882,(株)三社電機製作所,電源機器と半導体の生産が柱。金属表面処理用電源で国内首位。半導体はパワー系でニッチ特化,11660000000.0
6890,(株)フェローテックホールディングス,半導体ウエハや半導体設備向け部品を製造。真空シール世界シェア６割。装置や材料、消耗品も,110609000000.0
6894,パルステック工業(株),光ディスク機器・検査装置大手。非接触スキャナー、Ｘ線残留応力測定装置注力。配当性向３０％,2040000000.0
6897,ツインバード工業(株),調理家電や照明、掃除機、季節家電など企画・販売。小物家電に強み。生産は中国協力工場を活用,6117000000.0
6898,トミタ電機(株),フェライト主力の電子部品メーカー。産業用小型品に特化。業容改善図り中国へ生産の大半移管,1352000000.0
6899,ＡＳＴＩ(株),車載用電装品が主柱。産業用制御システムに注力。家電・通信用電子部品の実装技術に定評,6091000000.0
6901,澤藤電機(株),日野自動車系。スターターなどの電装品を製造。可搬式発電機、豪州が柱の車載用冷蔵庫も,6334000000.0
6904,原田工業(株),自動車用アンテナ専業メーカーで国内首位。世界各国に拠点構え国内外自動車各社と取引,19902000000.0
6905,コーセル(株),産業機器向け等スイッチング電源の標準品で国内２位。中国・無錫工場への生産移管を推進,26245000000.0
6907,ジオマテック(株),成膜加工の専業大手。ガラス基板上の加工に強み。液晶用基板、タッチパネル用が主要製品,4042000000.0
6908,イリソ電子工業(株),コネクター大手の一角。車載用途が柱。ＦＡ、ゲーム、家電関連も。製品の大半がカスタム品,79420000000.0
6912,菊水電子工業(株),独立系の電子計測器、電源機器メーカー。耐電圧試験器、据え置き型直流安定化電源でトップ,8526000000.0
6914,オプテックスグループ(株),屋内外の防犯、自動ドア用センサーや工場向けなど産業用センサーを展開。業界トップ級,73268000000.0
6915,千代田インテグレ(株),ソフト素材加工専門の総合部品メーカー。ＯＡ、ＡＶが中心。自動車用、携帯端末用部材を拡張,23827000000.0
6916,(株)アイ・オー・データ機器,ストレージ、モニター等ＰＣ周辺機器大手。ファブレス経営。当社会長会社ＭＢＯで上場廃止へ,16648000000.0
6918,(株)アバールデータ,半導体製造装置用制御機器の受託製品展開。画像処理、計測通信機器の自社製品との２本柱,17899000000.0
6919,ケル(株),電子機器向けコネクターが主力。小型・高性能品中心。狭小タイプ大手。ラック、ＩＣソケットも,10922000000.0
6920,レーザーテック(株),先端半導体向けマスク欠陥検査装置が柱。ＥＵＶ光源品は独占。マスクブランクス検査装置も,1622000000000.0
6923,スタンレー電気(株),自動車ランプで御三家の一角。ＬＥＤ等の電子機器事業も収益柱。ホンダ向け約４割。好財務,363091000000.0
6924,岩崎電気(株),照明機器大手。ＨＩＤからＬＥＤに移行。紫外線応用・環境関連品も。官公需から民需へシフト,17833000000.0
6925,ウシオ電機(株),産業用ランプで世界首位。液晶・半導体向け光学装置に加え、シネマ用映像装置などを展開,204802000000.0
6926,岡谷電機産業(株),電子機器のノイズやサージ対策用コンデンサーが主力。表示機器でも大手。海外比率５割程度,6082000000.0
6927,ヘリオス　テクノ　ホールディング(株),フェニックス電機主体、Ｍ＆Ａでプロジェクター用照明、精密印刷装置に展開。技術者派遣撤退,5128000000.0
6928,(株)エノモト,半導体・ＬＥＤ用リードフレーム、コネクター用部品大手。微細加工の精密プレス金型に強み,11196000000.0
6929,日本セラミック(株),赤外線センサーで国内９割、世界６割のシェア。超音波センサーでも世界的。中国等に生産拠点,53325000000.0
6930,日本アンテナ(株),通信用、放送用アンテナの製造販売大手。電波障害対策工事でも上位。車載用アンテナから撤退,6676000000.0
6932,(株)遠藤照明,商業施設用照明器具で国内首位級。演出照明に強み。インテリア家具も扱う。ＬＥＤ照明に軸足,11526000000.0
6937,古河電池(株),古河電気工業の電池製作所が発祥。自動車バッテリー用鉛蓄電池が柱。航空機・電車用、産業用も,37334000000.0
6938,双信電機(株),ノイズ除去フィルター主力の電子部品中堅。産業機器用が主体。情報通信関連も。釜屋電機系,8642000000.0
6941,山一電機(株),半導体検査用ソケット大手。半導体メーカー設備投資動向で収益振れ幅大。安定化へ新分野育成,38446000000.0
6943,ＮＫＫスイッチズ(株),産業用小型スイッチの専業大手。特にトグルスイッチに強い。日本、中国で生産。北米向け強化中,3349000000.0
